FIM4R Authors
Created by Hannah Short (http://orcid.org/0000-0003-2187-0980)

Collected iDs as of 2018-06-27T17:00:15.717Z
Date Collected            	ORCID              	Full ORCID iD                               	Collected Name
2018-06-12T09:50:22.677Z	0000-0003-2187-0980	http://orcid.org/0000-0003-2187-0980	Hannah Short
2018-06-12T10:31:58.821Z	0000-0001-6712-4321	http://orcid.org/0000-0001-6712-4321	David Kelsey
2018-06-12T12:14:12.089Z	0000-0002-8310-2015	http://orcid.org/0000-0002-8310-2015	Peter Gietz
2018-06-13T10:00:16.101Z	0000-0002-3634-3756	http://orcid.org/0000-0002-3634-3756	Mikael Linden
2018-06-13T10:01:20.231Z	0000-0003-4478-9026	http://orcid.org/0000-0003-4478-9026	Scott Koranda
2018-06-13T10:01:35.559Z	0000-0001-5901-5256	http://orcid.org/0000-0001-5901-5256	Stefan Paetow
2018-06-13T10:05:11.557Z	0000-0001-8376-9533	http://orcid.org/0000-0001-8376-9533	Michal Prochazka
2018-06-13T10:06:53.434Z	0000-0001-7255-3294	http://orcid.org/0000-0001-7255-3294	Uros Stevanovic
2018-06-13T10:07:17.968Z	0000-0003-0344-8911	http://orcid.org/0000-0003-0344-8911	Alessandro Costa
2018-06-13T10:17:52.760Z	0000-0002-7646-291X	http://orcid.org/0000-0002-7646-291X	Philip Kershaw
2018-06-13T10:18:44.778Z	0000-0003-2609-2698	http://orcid.org/0000-0003-2609-2698	Matthias Bernhard Junker
2018-06-13T10:30:04.956Z	0000-0002-1741-8011	http://orcid.org/0000-0002-1741-8011	Enrico Maria Vincenzo Fasanelli
2018-06-13T10:38:37.809Z	0000-0001-5614-0895	http://orcid.org/0000-0001-5614-0895	John White
2018-06-13T11:35:19.120Z	0000-0001-5567-4916	http://orcid.org/0000-0001-5567-4916	Christopher Phillips
2018-06-13T12:07:20.294Z	0000-0003-1026-6606	http://orcid.org/0000-0003-1026-6606	David L. Groep
2018-06-13T13:28:07.818Z	0000-0003-1878-3448	http://orcid.org/0000-0003-1878-3448	Thomas Barton
2018-06-13T13:31:04.013Z	0000-0002-0919-410X	http://orcid.org/0000-0002-0919-410X	Licia Florio
2018-06-13T13:42:15.260Z	0000-0002-0139-0640	http://orcid.org/0000-0002-0139-0640	Jim Basney
2018-06-13T14:23:37.342Z	0000-0002-5569-5183	http://orcid.org/0000-0002-5569-5183	(Tommi Henrik Nyrönen) - name inserted - duplicated below
2018-06-13T16:00:16.178Z	0000-0001-8223-6292	http://orcid.org/0000-0001-8223-6292	Christopher John Atherton
2018-06-13T23:04:57.989Z	0000-0001-6399-5453	http://orcid.org/0000-0001-6399-5453	Ludek Matyska
2018-06-14T01:21:21.125Z	0000-0002-1379-7392	http://orcid.org/0000-0002-1379-7392	Christopher Whalen
2018-06-14T06:29:14.447Z	0000-0002-5762-6747	http://orcid.org/0000-0002-5762-6747	Carlo Maria Zwölf
2018-06-14T07:15:55.307Z	0000-0003-2145-0951	http://orcid.org/0000-0003-2145-0951	Thorsten Kollegger
2018-06-14T09:54:55.769Z	0000-0003-1006-2822	http://orcid.org/0000-0003-1006-2822	Carl-Fredrik Enell
2018-06-15T07:53:23.008Z	0000-0002-0878-5303	http://orcid.org/0000-0002-0878-5303	Romain Wartel
2018-06-20T10:22:09.784Z	0000-0002-5569-5183	http://orcid.org/0000-0002-5569-5183	Tommi Henrik Nyrönen
2018-06-20T10:32:42.050Z	0000-0001-9754-8846	http://orcid.org/0000-0001-9754-8846	Filip Marinic
2018-06-20T10:48:05.540Z	0000-0003-3335-3390	http://orcid.org/0000-0003-3335-3390	Gerben Venekamp
2018-06-20T12:27:50.039Z	0000-0002-8132-9013	http://orcid.org/0000-0002-8132-9013	Michael Tartakovsky
2018-06-20T13:20:23.587Z	0000-0002-9648-7508	http://orcid.org/0000-0002-9648-7508	Mirjam van Daalen
2018-06-20T13:28:16.198Z	0000-0003-3188-6273	http://orcid.org/0000-0003-3188-6273	Laura A D Paglione
2018-06-20T13:37:07.787Z	0000-0001-7099-0378	http://orcid.org/0000-0001-7099-0378	Sandra Parlati
2018-06-20T13:55:29.758Z	0000-0002-4752-6777	http://orcid.org/0000-0002-4752-6777	Cristina Knapic
2018-06-20T14:05:31.200Z	0000-0002-8939-2607	http://orcid.org/0000-0002-8939-2607	Christos Kanellopoulos
2018-06-26T14:58:48.574Z	0000-0001-5756-3822	http://orcid.org/0000-0001-5756-3822	Stephanie Dyke
